name,local_price,GDP_dollar
United Arab Emirates,14.75,39179.883
Argentina,320,9890.314
Australia,6.48,54348.227
Austria,3.88,50380.282
Azerbaijan,3.95,4813.67
Belgium,4.35,46236.67
Bahrain,1.5,25997.583
Brazil,21.9,8751.381
Canada,6.77,46271.717
Switzerland,6.5,82483.925
Chile,2940,14772.111
China,22.4,10286.58
Colombia,12950,6423.179
Costa Rica,2350,12243.842
Czech Republic,89,23538.518
Germany,4.46,46472.623
Denmark,30,59770.324
Egypt,42.5,3043.64
Spain,4.33,29993.061
Estonia,3.2,23757.617
Euro area,4.25,39378.2868561122
Finland,4.87,48809.551
France,4.2,41896.577
Britain,3.29,42378.606
Greece,3.3,19569.531
Guatemala,25,4354.336
Hong Kong,20.5,48626.576
Honduras,87,2550.666
Croatia,23,14853.016
Hungary,900,16469.607
Indonesia,34000,4196.67
India,190,2097.782
Ireland,4.4,80504.404
Israel,17,43603.013
Italy,4.3,33159.068
Jordan,2.3,4425.687
Japan,390,40255.936
South Korea,4500,31846.217
Kuwait,1.15,28499.788
Lebanon,15500,7661.073
Sri Lanka,700,3852.484
Lithuania,2.9,19482.142
Latvia,2.85,17771.634
Moldova,50,4458.192
Mexico,54,9862.44
Malaysia,9.99,11193.016
Nicaragua,124,1920.291
Netherlands,4.13,52646.193
Norway,52,75294.428
New Zealand,6.8,41666.635
Oman,1.1,18198.309
Pakistan,550,1348.676
Peru,11.9,6957.864
Philippines,142,3511.935
Poland,13.08,15600.657
Portugal,3.45,23132.455
Qatar,13,62918.848
Romania,9.9,12887.06
Russia,135,11601.418
Saudi Arabia,14,23266.486
Singapore,5.9,65233.88
Slovakia,3.7,19344.174
Slovenia,2.5,25992.066
Sweden,52.88,51404.434
Thailand,128,7806.961
Turkey,14.99,9150.862
Taiwan,72,25873.367
Ukraine,62,3706.765
Uruguay,204,16110.742
United States,5.66,65253.518
Vietnam,66000,3416.232
South Africa,33.5,5977.954
United Arab Emirates,14.75,31982.23
Argentina,380,8554.64
Australia,6.55,52824.82
Austria,3.92,48154.38
Azerbaijan,3.95,4218
Belgium,4.45,44529.39
Bahrain,1.5,22402
Brazil,22.9,6783.05
Canada,6.77,43278.22
Switzerland,6.5,86849.47
Chile,2990,12989.6
China,22.4,10483.88
Colombia,12950,5335.59
Costa Rica,2370,11982.28
Czech Republic,89,22578.83
Germany,4.45,45732.8
Denmark,30,60494.2
Egypt,42.5,3586.97
Spain,4.4,27132.32
Estonia,3.2,23330.09
Euro area,4.29,37918.918839567
Finland,4.89,48981.44
France,4.3,39907.14
Britain,3.49,40406.28
Greece,3.3,17670.29
Guatemala,26,4288.75
Hong Kong,21,46753.46
Honduras,87,2382.88
Croatia,24,14072.08
Hungary,908,15820.1
Indonesia,34000,3921.62
India,190,1964.88
Ireland,4.5,83849.81
Israel,17,43688.58
Italy,4.3,31288.02
Jordan,2.13,4259.26
Japan,390,40146.07
South Korea,4600,31496.77
Kuwait,1.25,22105.09
Lebanon,37000,2802.14
Sri Lanka,700,3678.73
Lithuania,2.9,19916.5
Latvia,2.85,17559.86
Moldova,52,4365.85
Mexico,64,8421.19
Malaysia,9.99,10269.86
Nicaragua,128,1869.71
Netherlands,4.22,52247.54
Norway,57,67176.43
New Zealand,6.9,41127.16
Oman,1.15,14215.58
Pakistan,580,1260.01
Peru,12.9,6083.87
Philippines,142,3330.36
Poland,13.43,15653.56
Portugal,3.45,22488.62
Qatar,13,52144.16
Romania,10.6,12797.1
Russia,135,10037.24
Saudi Arabia,14,20178.23
Singapore,5.9,58902.22
Slovakia,3.7,19071.2
Slovenia,2.6,25210.72
Sweden,54,51796.38
Thailand,128,7190.37
Turkey,19.99,8548.18
Taiwan,72,28305.92
Ukraine,65,3653.11
Uruguay,225,15777.96
United States,5.65,63415.99
Venezuela,16020000,1690.66
Vietnam,69000,3498.98
South Africa,33.5,5067.15
