county_id,county,h_cnt,p_cnt,m_cnt,f_cnt
65000,新北市,1620493,4017632,1961812,2055820
63000,臺北市,1057327,2544720,1211361,1333359
68000,桃園市,860144,2272812,1125649,1147163
66000,臺中市,1014864,2816393,1382499,1433894
67000,臺南市,709627,1866073,929345,936728
64000,高雄市,1128474,2751317,1356111,1395206
10002,宜蘭縣,174071,451422,227385,224037
10004,新竹縣,209962,574512,293279,281233
10005,苗栗縣,195208,539361,278012,261349
10007,彰化縣,398859,1257992,639195,618797
10008,南投縣,179983,486455,248511,237944
10009,雲林縣,244854,671686,347254,324432
10010,嘉義縣,185163,494868,256657,238211
10013,屏東縣,293118,806305,410625,395680
10014,臺東縣,84102,213818,109771,104047
10015,花蓮縣,127919,322260,162865,159395
10016,澎湖縣,42245,106036,54583,51453
10017,基隆市,156260,365117,182031,183086
10018,新竹市,173974,452882,223677,229205
10020,嘉義市,101811,265002,128026,136976
09020,金門縣,42415,140856,70209,70647
09007,連江縣,3489,13429,7771,5658
