county,town,can_sung,can_han,can_tsai,有效票數,無效票數,投票數,投票率,選舉人數
基隆市,中正區,1618,13887,15540,31045,383,31428,70.7949,44393
基隆市,七堵區,1815,13618,17516,32949,337,33286,73.7771,45117
基隆市,暖暖區,1306,10660,11537,23503,276,23779,73.2992,32441
基隆市,仁愛區,1305,10742,13701,25748,273,26021,73.3606,35470
基隆市,中山區,1579,12468,15032,29079,352,29431,72.6512,40510
基隆市,安樂區,2560,22200,25735,50495,509,51004,74.2222,68718
基隆市,信義區,1695,15785,15905,33385,328,33713,74.6656,45152
新北市,板橋區,15719,123922,204134,343775,4051,347826,76.4453,455000
新北市,三重區,11087,78055,154104,243246,2762,246008,76.1375,323110
新北市,中和區,12066,120502,131784,264352,3243,267595,76.6254,349225
新北市,永和區,6286,69190,63595,139071,1680,140751,76.6075,183730
新北市,新莊區,11772,83491,157610,252873,2576,255449,75.3964,338808
新北市,新店區,8175,99844,85143,193162,2195,195357,75.0383,260343
新北市,樹林區,5318,38429,66415,110162,1289,111451,75.0173,148567
新北市,鶯歌區,2510,18102,31079,51691,568,52259,74.2136,70417
新北市,三峽區,3027,25338,38077,66442,766,67208,72.7163,92425
新北市,淡水區,5054,44807,57672,107533,1212,108745,72.882,149207
新北市,汐止區,5850,53644,67350,126844,1311,128155,74.2157,172679
新北市,瑞芳區,1023,10072,12238,23333,263,23596,69.6273,33889
新北市,土城區,6899,52751,85443,145093,1712,146805,74.6909,196550
新北市,蘆洲區,5504,36875,78858,121237,1383,122620,74.8756,163765
新北市,五股區,2391,17969,32282,52642,576,53218,73.5879,72319
新北市,泰山區,2052,16715,27918,46685,561,47246,75.2193,62811
新北市,林口區,3501,26140,36053,65694,677,66371,74.8745,88643
新北市,深坑區,617,6374,8052,15043,154,15197,75.2811,20187
新北市,石碇區,171,1592,3035,4798,52,4850,72.7355,6668
新北市,坪林區,132,1362,2688,4182,47,4229,71.8729,5884
新北市,三芝區,512,5605,7359,13476,164,13640,69.7591,19553
新北市,石門區,249,2871,3837,6957,90,7047,70.0427,10061
新北市,八里區,1083,8736,13576,23395,261,23656,72.4112,32669
新北市,平溪區,97,1174,1598,2869,28,2897,69.6394,4160
新北市,雙溪區,191,2165,2815,5171,55,5226,67.5019,7742
新北市,貢寮區,234,2113,4721,7068,70,7138,65.9765,10819
新北市,金山區,465,4693,7664,12822,129,12951,70.6971,18319
新北市,萬里區,462,5206,7213,12881,129,13010,69.3645,18756
新北市,烏來區,173,1894,1623,3690,37,3727,72.3268,5153
臺北市,松山區,5436,55918,64207,125561,1762,127323,77.3276,164654
臺北市,信義區,5878,62353,70285,138516,1764,140280,76.0309,184504
臺北市,大安區,7534,85490,88977,182001,2501,184502,74.8308,246559
臺北市,中山區,6367,56491,79022,141880,1922,143802,75.6097,190190
臺北市,中正區,4188,41461,48183,93832,1292,95124,76.1236,124960
臺北市,大同區,3463,24673,50006,78142,971,79113,76.0059,104088
臺北市,萬華區,5008,46700,66866,118574,1536,120110,75.3972,159303
臺北市,文山區,7502,82305,78129,167936,2339,170275,77.0078,221114
臺北市,南港區,3409,30968,40969,75346,1010,76356,77.256,98835
臺北市,內湖區,8356,74437,94269,177062,2349,179411,77.7883,230640
臺北市,士林區,7185,65183,104881,177249,2020,179269,76.309,234925
臺北市,北投區,6443,59851,90060,156354,1915,158269,76.2772,207492
